X_deg,Y_deg,Pop,GridCellArea,Country,ElecPop,WindVel,GHI,TravelHours,Elevation,ResidentialDemandTierCustom,Slope,NightLights,LandCover,SubstationDist,TransformerDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,IsUrban,PerCapitaDemand,HealthDemand,EducationDemand,AgriDemand,ElectrificationOrder,Conflict,CommercialDemand,ResidentialDemandTier1,ResidentialDemandTier2,ResidentialDemandTier3,ResidentialDemandTier4,ResidentialDemandTier5,id,GridPenalty,WindCF,PopStartYear,ElecPopCalib,Pop2025High,Pop2025Low,Pop2030High,Pop2030Low,Pop2018,ElecStart,GridDistCalibElec,FinalElecCode2018,MVConnectDist,minTDdist,Pop2025,NewConnections2025,NumPeoplePerHH,Tier,EnergyPerSettlement2025,TotalEnergyPerCell,SADieselFuelCost2025,MGDieselFuelCost2025,MG_Hydro2025,MG_PV2025,MG_Wind2025,MG_Diesel2025,SA_Diesel2025,SA_PV2025,Minimum_Tech_Off_grid2025,Minimum_LCOE_Off_grid2025,Off_Grid_Code2025,Grid2025,MinGridDist2025,ElectrificationOrder2025,MinimumOverall2025,MinimumOverallLCOE2025,MinimumOverallCode2025,InvestmentCost2025,ElecStatusIn2025,InvestmentCapita2025,FinalElecCode2025,NewCapacity2025,Pop2030,NewConnections2030,EnergyPerSettlement2030,SADieselFuelCost2030,MGDieselFuelCost2030,MG_Hydro2030,MG_PV2030,MG_Wind2030,MG_Diesel2030,SA_Diesel2030,SA_PV2030,Minimum_Tech_Off_grid2030,Minimum_LCOE_Off_grid2030,Off_Grid_Code2030,Grid2030,MinGridDist2030,ElectrificationOrder2030,MinimumOverall2030,MinimumOverallLCOE2030,MinimumOverallCode2030,InvestmentCost2030,ElecStatusIn2030,InvestmentCapita2030,FinalElecCode2030,NewCapacity2030
42.0638,10.99388,91.06037,0.017,Djibouti,0.0,5.08915,2281.0,2.89657,334.51715,175.8125,0.99574,0.0,16,70.512,9999,81.459,57.535,4.693,4.693,4.442,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1297,1.1418033,0.08228913,100.67011,0.0,103.4423,101.04593,105.469055,101.31523,100.67011,0,9999,99,4.693,4.693,103.4423,103.4423,7.7,4,11699.179,11928.401,45.16628,30.559917,99.0,0.26385537,99.0,99,99,0.27837166,MG_PV2025,0.26385537,5.0,99.0,0.0,0,MG_PV2025,0.26385537,5.0,26831.018,1,259.38147,5.0,6.3516645,105.469055,2.026752,229.22278,45.16628,30.559917,99.0,0.22508557,99.0,99,99,0.60644615,MG_PV2030,0.22508557,5.0,0.07284347,5.3584824,1,Grid2030,0.07284347,1.0,145.82364,1,71.94943,1.0,0.035669282
42.04421,10.9943,182.12074,0.017,Djibouti,0.0,5.0878,2281.4875,3.07968,332.8057,175.8125,1.27928,0.0,16,72.577,9999,83.594,57.877,6.734,6.734,6.528,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1295,1.1236314,0.08221469,201.34023,0.0,206.8846,202.09186,210.93811,202.63046,201.34023,0,9999,99,7.529675,6.734,206.8846,206.8846,7.7,4,23398.357,23856.803,45.77391,30.584738,99.0,0.23442782,99.0,99,99,0.27831218,MG_PV2025,0.23442782,5.0,0.20404278,1.931157,2,Grid2025,0.20404278,1.0,53394.832,1,258.08994,1.0,3.6410105,210.93811,4.053504,458.44556,45.77391,30.584738,99.0,0.21612544,99.0,99,99,0.6063165,MG_PV2030,0.21612544,5.0,0.03,0.0,2,Grid2030,0.03,1.0,271.4325,1,66.96244,1.0,0.071338564
42.08922,10.99471,45.53018,0.009,Djibouti,0.0,4.96949,2276.0,2.66667,346.0,175.8125,0.77626,0.0,16,67.801,9999,78.68,56.921,2.222,2.222,1.838,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1296,1.1418033,0.07579517,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,2.222,51.721146,51.721146,7.7,4,5849.589,5964.2,44.403378,30.528753,99.0,0.30895224,99.0,99,99,0.2789832,SA_PV2025,0.2789832,3.0,99.0,0.0,0,SA_PV2025,0.2789832,3.0,12764.92,1,246.80272,3.0,2.8556867,52.73452,1.0133759,114.61138,44.403378,30.528753,99.0,6.6472154,99.0,99,99,0.6077784,SA_PV2030,0.6077784,3.0,99.0,0.0,0,SA_PV2030,0.6077784,3.0,314.0666,1,309.92114,3.0,0.05595166
42.05922,10.99721,45.53018,0.009,Djibouti,0.0,5.04467,2281.9885,2.89886,329.0684,175.8125,0.83346,0.0,16,70.908,9999,81.94,57.255,5.064,5.064,4.857,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1294,1.1418033,0.079850554,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,5.064,51.721146,51.721146,7.7,4,5849.589,5964.2,45.173878,30.560226,99.0,0.30847397,99.0,99,99,0.27825108,SA_PV2025,0.27825108,3.0,99.0,0.0,0,SA_PV2025,0.27825108,3.0,12731.421,1,246.15504,3.0,2.8481925,52.73452,1.0133759,114.61138,45.173878,30.560226,99.0,6.646739,99.0,99,99,0.6061834,SA_PV2030,0.6061834,3.0,99.0,0.0,0,SA_PV2030,0.6061834,3.0,313.2424,1,309.10782,3.0,0.055804826
42.10922,10.99804,91.06037,0.009,Djibouti,0.0,5.10783,2271.0,2.46667,351.0,175.8125,1.08368,0.0,16,65.594,9999,76.477,56.158,1.141,1.141,0.0,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1293,1.1418033,0.08332173,100.67011,0.0,103.4423,101.04593,105.469055,101.31523,100.67011,0,9999,99,1.141,1.141,103.4423,103.4423,7.7,4,11699.179,11928.401,43.739697,30.501644,99.0,0.25775555,99.0,99,99,0.27959743,MG_PV2025,0.25775555,5.0,99.0,0.0,0,MG_PV2025,0.25775555,5.0,26232.486,1,253.59535,5.0,6.379633,105.469055,2.026752,229.22278,43.739697,30.501644,99.0,0.21758589,99.0,99,99,0.6091165,MG_PV2030,0.21758589,5.0,0.06534483,1.3027974,1,Grid2030,0.06534483,1.0,136.42368,1,67.311485,1.0,0.035669282
42.06422,10.99888,45.53018,0.009,Djibouti,0.0,4.91872,2281.0,2.8,335.0,175.8125,0.99574,0.0,16,70.333,9999,81.385,56.97,4.49,4.49,4.29,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1292,1.1418033,0.073105,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,4.49,51.721146,51.721146,7.7,4,5849.589,5964.2,44.84582,30.546827,99.0,0.30855277,99.0,99,99,0.27837166,SA_PV2025,0.27837166,3.0,99.0,0.0,0,SA_PV2025,0.27837166,3.0,12736.938,1,246.26173,3.0,2.849427,52.73452,1.0133759,114.61138,44.84582,30.546827,99.0,6.6468177,99.0,99,99,0.60644615,SA_PV2030,0.60644615,3.0,99.0,0.0,0,SA_PV2030,0.60644615,3.0,313.37817,1,309.2418,3.0,0.05582901
42.06255,10.99971,91.06037,0.009,Djibouti,0.0,4.81141,2281.0,2.8,335.0,175.8125,0.99574,0.0,16,70.487,9999,81.563,56.915,4.647,4.647,4.46,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1290,1.1418033,0.067552306,100.67011,0.0,103.4423,101.04593,105.469055,101.31523,100.67011,0,9999,99,4.647,4.647,103.4423,103.4423,7.7,4,11699.179,11928.401,44.84582,30.546827,99.0,0.25695482,99.0,99,99,0.27837166,MG_PV2025,0.25695482,5.0,99.0,0.0,0,MG_PV2025,0.25695482,5.0,26149.98,1,252.79773,5.0,6.3516645,105.469055,2.026752,229.22278,44.84582,30.546827,99.0,0.21678858,99.0,99,99,0.60644615,MG_PV2030,0.21678858,5.0,0.06534483,5.3059597,1,Grid2030,0.06534483,1.0,136.42368,1,67.311485,1.0,0.035669282
42.06588,10.99971,45.53018,0.009,Djibouti,0.0,4.82861,2281.0,2.8,335.0,175.8125,0.99574,0.0,16,70.134,9999,81.199,56.851,4.291,4.291,4.098,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1291,1.1418033,0.06842986,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,4.291,51.721146,51.721146,7.7,4,5849.589,5964.2,44.84582,30.546827,99.0,0.30855277,99.0,99,99,0.27837166,SA_PV2025,0.27837166,3.0,99.0,0.0,0,SA_PV2025,0.27837166,3.0,12736.938,1,246.26173,3.0,2.849427,52.73452,1.0133759,114.61138,44.84582,30.546827,99.0,6.6468177,99.0,99,99,0.60644615,SA_PV2030,0.60644615,3.0,99.0,0.0,0,SA_PV2030,0.60644615,3.0,313.37817,1,309.2418,3.0,0.05582901
42.1684,11.00054,45.53018,0.009,Djibouti,0.0,5.1337,2268.0,3.08333,390.0,403.5625,0.89724,0.0,16,59.293,9999,70.004,54.682,4.402,4.402,4.14,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1289,1.1418033,0.084759936,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,4.402,51.721146,51.721146,7.7,4,5849.589,5964.2,45.786022,30.585232,99.0,0.3095951,99.0,99,99,0.27996728,SA_PV2025,0.27996728,3.0,99.0,0.0,0,SA_PV2025,0.27996728,3.0,12809.946,1,247.67328,3.0,2.8657596,52.73452,1.0133759,114.61138,45.786022,30.585232,99.0,6.6478553,99.0,99,99,0.60992223,SA_PV2030,0.60992223,3.0,99.0,0.0,0,SA_PV2030,0.60992223,3.0,315.1744,1,311.01434,3.0,0.05614902
42.1684,11.00221,45.53018,0.009,Djibouti,0.0,5.17994,2272.0,2.75,381.0,403.5625,0.81297,0.0,16,59.242,9999,69.994,54.509,4.264,4.264,4.014,99,0,0,0,113.098595,0,0,0,0,0,0,5.450704,30.84507,113.098595,298.169,421.5493,1288,1.1418033,0.08735382,50.335052,0.0,51.721146,50.52296,52.73452,50.657608,50.335052,0,9999,99,0.0,4.264,51.721146,51.721146,7.7,4,5849.589,5964.2,44.6799,30.540049,99.0,0.30927312,99.0,99,99,0.27947438,SA_PV2025,0.27947438,3.0,99.0,0.0,0,SA_PV2025,0.27947438,3.0,12787.394,1,247.23724,3.0,2.8607144,52.73452,1.0133759,114.61138,44.6799,30.540049,99.0,6.647535,99.0,99,99,0.60884845,SA_PV2030,0.60884845,3.0,99.0,0.0,0,SA_PV2030,0.60884845,3.0,314.61954,1,310.4668,3.0,0.056050166
